job_id,job_title,job_location,job_schedule_type,salary_year_avg,company_name
177779,Data Scientist,"Madison, SD",Full-time," $960,000 ","East River Electric Power Cooperative, Inc."
1008448,Senior Data Scientist,"Pretoria, South Africa",Full-time," $890,000 ",MSP Staffing  LTD
226942,Data Analyst,Anywhere,Full-time," $650,000 ",Mantys
551617,Geographic Information Systems Analyst - GIS Analyst,"New York, NY",Full-time," $585,000 ",ReServe
40145,Staff Data Scientist/Quant Researcher,Anywhere,Full-time," $550,000 ",Selby Jennings
223758,Hybrid - Data Engineer - Up to $600k,"New York, NY",Full-time," $525,000 ",Durlston Partners
1714768,Staff Data Scientist - Business Analytics,Anywhere,Full-time," $525,000 ",Selby Jennings
327496,Senior Data Scientist,Anywhere,Full-time," $475,000 ",Glocomms
1495652,VP Data Science & Research,"Menlo Park, CA",Full-time," $463,500 ",WhatsApp
1300865,Data Scientist (L5) - Messaging,"Los Gatos, CA",Full-time," $450,000 ",Netflix
