"skills","demand_count","avg_salary","skill_category"
"svn","58","400000","Specialized"
"solidity","50","179000","Specialized"
"couchbase","22","160515","Specialized"
"datarobot","41","155486","Specialized"
"golang","79","155000","Specialized"
"mxnet","20","149000","Specialized"
"dplyr","94","147633","Specialized"
"vmware","184","147500","Specialized"
"terraform","270","146734","Specialized"
"twilio","30","138500","Specialized"
"gitlab","514","134126","Specialized"
"kafka","1205","129999","Specialized"
"puppet","40","129820","Specialized"
"keras","210","127013","Specialized"
"pytorch","486","125226","Specialized"
"perl","578","124686","Specialized"
"ansible","186","124370","Specialized"
"hugging face","11","123950","Specialized"
"tensorflow","772","120647","Specialized"
"cassandra","321","118407","Specialized"
"notion","382","118092","Specialized"
"atlassian","337","117966","Specialized"
"bitbucket","338","116712","Specialized"
"airflow","2012","116387","Specialized"
"scala","1864","115480","Specialized"
