"job_id","job_title","job_location","job_schedule_type","salary_year_avg","company_name"
647273,"Data Scientist","Philippines","Full-time","164000.0","World Vision"
195872,"Analytics Engineer","Philippines","Contractor","139216.0","InDebted"
1294162,"Sr. Research Analyst, Aluminum and Ferrous Metals","Philippines","Full-time","111983.5","S&P Global"
830180,"Data Analyst","Philippines","Full-time","111175.0","Curated"
784428,"Research Analyst","Philippines","Full-time","99179.5","FactSet"
37518,"Data Analyst - mid-level","Philippines","Contractor","98500.0","InDebted"
318607,"Data Operations Engineer (Support) Philippines","Philippines","Full-time","80000.0","Tamr"
304908,"Data Analyst - 6 month's contract","Philippines","Contractor","69900.0","RepRisk AG"
394739,"Data Analytics and Systems Lead","Philippines","Full-time","64800.0","Nestlé"
245658,"#DISCOVER I 2024 Improvement based in Data Analytics","Philippines","Full-time","25920.0","Airbus"
